school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,subject,avg_prev_grades,absence_rate,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other
1,0,16,1,0,1,3,3,1,2,0,0,1,0,0,1,1,0,0,4,3,2,1,2,5,0,11,13,0,12.0,0.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
1,1,15,1,1,0,3,2,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,1,17.0,0.0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,16,1,1,1,4,3,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6,12,12,0,12.0,0.08,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False
1,0,16,1,0,1,2,3,1,2,0,1,0,0,0,1,1,1,0,2,3,1,1,1,3,0,13,13,0,13.0,0.0,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
0,0,17,0,0,1,1,1,3,1,1,0,1,1,0,1,1,1,1,5,2,1,1,2,1,0,7,6,1,6.5,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
1,1,17,1,0,1,4,4,1,1,0,0,0,0,0,1,1,1,0,5,2,3,1,2,5,4,13,13,0,13.0,0.05333333333333334,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,17,1,1,0,2,2,1,1,1,0,1,0,0,0,0,1,0,3,1,2,1,1,1,8,11,9,0,10.0,0.10666666666666667,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,1,19,0,0,1,1,1,3,1,1,0,1,0,0,1,1,1,0,4,4,4,3,3,5,4,8,8,1,8.0,0.05333333333333334,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,17,0,0,1,4,3,2,3,0,0,1,0,1,1,1,1,1,4,4,2,1,1,4,0,11,12,0,11.5,0.0,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
0,0,18,1,0,1,2,3,2,1,0,0,1,0,0,1,1,1,1,5,2,3,1,2,4,0,10,10,0,10.0,0.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
